phase,trial,magnification,head_amp,eye_amp,gain_paired,gain_lstsq,offset_lstsq,r_squared
baseline,46,1.12,19.873462036065774,22.30524340107856,1.12236324806416,1.1011148944160394,-0.16741856286487367,0.9966980453306856
baseline,47,0.95,21.60774649495454,21.40199212699612,0.9904777498196554,0.990177963976032,-0.4424845357228758,0.9984927178674448
baseline,48,1.2,15.996157337058744,17.927560939566543,1.1207417232658285,1.1109042084126417,-0.35199343019691154,0.9929498450571753
baseline,49,1.12,20.924604519842283,22.51615537196549,1.0760612154277027,1.0856373695990358,-0.2254723217410135,0.9931525635028389
baseline,50,1.0,20.83488463310327,21.473408127647104,1.0306468457007592,1.0284753550092456,-0.627555995046349,0.9973508635995468
baseline,51,0.95,21.035820702643996,19.473682297649127,0.9257391272212867,0.9356698455786954,-0.036777154884181394,0.9967627725790256
baseline,52,1.2,19.449170506321764,21.788120900467582,1.1202596477513302,1.1170031679907406,-0.2529658799160283,0.9891239129574882
baseline,53,1.0,19.825580635643778,20.099401660898323,1.0138115009233197,1.0095472876858256,-0.25551986834594514,0.996864766095171
baseline,54,0.8,20.82381886520095,17.950687805120367,0.8620266974718109,0.8476680725682925,0.03877768533263323,0.9987175299167573
baseline,55,1.0,19.939124349051923,19.22361426279142,0.9641152703732184,0.9396381940252838,0.42531998334458165,0.9856567867135183
aftereffect,0,1.0,15.71385163968985,16.05967245719022,1.0220073872039686,1.0101750254019057,-0.48574168159187464,0.9844203247780109
aftereffect,1,1.08,18.309848652778214,20.20786259986179,1.1036608211830077,1.1061816425166813,-1.7735023761042596,0.9972294677338809
aftereffect,2,1.04,17.602256939056183,18.437802934269754,1.0474681171912477,1.0254743058968605,-1.92152180683173,0.990297267810578
aftereffect,3,0.95,16.23435001265898,16.308063208505647,1.004540569581732,0.9928898956787406,-0.6426655150483668,0.9971920040558363
aftereffect,4,1.16,17.210160845692513,19.7900326011422,1.1499039886135287,1.1355749440322045,-1.0590371139987216,0.9944957616858627
aftereffect,5,1.0,21.04302817889004,21.41164009090461,1.0175170564274751,0.9918203689228622,1.4070544732801313,0.9935660574439316
aftereffect,6,1.08,18.743270797154242,19.296553086844693,1.0295189828754143,0.9791497062709561,-2.2184916390227922,0.94566455640785
aftereffect,7,0.9,16.664320201709486,15.82401313695465,0.9495744768113232,0.9559034576679389,-0.15759705093193124,0.9987213744791694
aftereffect,8,0.95,18.884972599589272,18.558629792521714,0.982719445032467,0.9940602577435587,-0.6365908652214148,0.9908784254307368
aftereffect,9,1.08,18.20019646849911,18.746397301744377,1.0300107108288985,1.0395503422415706,-0.4584324129990376,0.9897836784996539
aftereffect,10,1.0,20.7582988851771,22.0336811263327,1.061439631841235,0.9621702262228027,-1.4854504710945347,0.9825019950862787
aftereffect,11,1.0,20.86689730631352,21.55551669088076,1.0330005642170335,0.9747321493435742,0.27169352357974325,0.9920961308017757
aftereffect,12,1.08,20.849991675455552,21.778813048734435,1.0445478054733366,1.011976659752935,-1.268784624676721,0.9885016816394367
aftereffect,13,1.04,17.567740060033316,18.3017962670848,1.041784327667818,1.047522378897662,-1.0743418960906053,0.9966096747879292
aftereffect,14,1.04,18.81769443333912,19.13249579215974,1.0167290078992297,0.979377469589037,-0.16738040488010414,0.986515024681902
