phase,topup_round,t_within_phase,amplitude_deg,duration_ms,peak_velocity
baseline,2,162.05529,2.734815593539805,22.600000000011278,151.08703596782638
baseline,2,162.21119000000002,3.200779923641419,21.99999999999136,145.48999652921256
baseline,2,162.35509000000002,5.749144720535258,22.500000000007958,362.4214438489333
baseline,2,162.59939,14.512503627222827,72.30000000001269,834.9843401482212
baseline,2,163.25829000000002,30.613248241839155,94.30000000000405,5443.237383387326
baseline,2,163.97659000000002,14.864156861816205,55.80000000000496,1404.274336802955
baseline,2,164.18189,8.018662039341283,41.200000000003456,251.43948840250096
baseline,2,164.60989,4.852281470019605,22.500000000007958,227.07061557025494
baseline,2,164.79879000000003,4.742389318127183,66.599999999994,393.9663595860009
baseline,2,166.50909000000001,11.95983266080491,38.99999999998727,408.7559827370196
baseline,2,166.71109,4.7419644122143225,31.00000000000591,156.6677577523544
baseline,2,167.97509000000002,6.554163268471229,21.99999999999136,439.57180348780514
baseline,2,168.56399000000002,3.4073265692827857,78.19999999998117,208.3722280542175
baseline,2,168.75249000000002,13.180695574804716,127.49999999999773,144.3363190687864
baseline,2,169.70279000000002,10.192395405578132,38.60000000000241,1037.4939138609088
baseline,2,169.95219,6.715001313517561,33.2000000000221,335.67619025225343
baseline,2,170.38509000000002,12.363421627981799,44.70000000000596,471.46297402232744
baseline,2,170.83539000000002,24.47596245261196,38.39999999999577,1052.4136746661095
baseline,2,171.15129000000002,8.172405940685517,30.799999999999272,390.4954136756507
baseline,2,171.37369,7.62289575845313,115.0000000000091,172.0673308698286
baseline,2,172.49499,2.0424424704729436,23.300000000006094,197.76978172917237
baseline,2,173.01719,4.984430701932933,22.20000000002642,225.0907794738926
baseline,2,173.37299000000002,4.34273983786499,22.30000000000132,297.7085066720355
baseline,2,173.90609,5.736806924894093,22.00000000001978,371.3808036994236
baseline,2,174.01719,8.792488173421212,55.30000000001678,302.9890642093179
baseline,2,174.10589000000002,4.690773560312515,33.19999999999368,478.02082099346785
baseline,2,174.22769000000002,15.557428858761794,60.80000000000041,325.925455878039
baseline,2,174.72859000000003,4.401992910216231,37.700000000000955,116.76373767151512
baseline,3,203.42969,5.423919806813569,33.299999999997,553.1136590482474
baseline,3,203.70759000000004,12.675809534699782,21.99999999999136,696.454024170668
baseline,3,208.17249000000004,4.204171221958138,55.29999999998836,701.0976487117862
baseline,3,209.70499,5.745313229533646,33.299999999997,224.41759413075025
baseline,3,211.58199000000002,13.922487268350379,55.599999999969896,384.8659316983692
baseline,3,211.66339,8.908075416114695,52.099999999995816,359.8681109887945
baseline,3,211.74909000000002,10.255458843988045,65.89999999999918,260.2913924528565
baseline,3,213.33689000000004,6.206763727381303,59.69999999996389,165.4298755849912
baseline,3,213.69229,11.644847452583088,44.3000000000211,262.86337364734857
baseline,3,214.84019,8.257183343796214,29.60000000001628,512.3436418508053
baseline,3,215.88019000000003,19.599645209666377,88.8999999999669,510.3032693244793
baseline,3,216.49669,27.67345542238376,38.70000000000573,715.0763675033505
baseline,3,216.73749000000004,12.25955339592947,145.3999999999951,323.3102642055734
baseline,3,217.84609,137.10744843890976,22.1000000000231,13004.822788586147
baseline,3,218.46799,143.98263207412586,111.00000000004684,12776.662519427213
baseline,3,218.67609,5.501157372190942,36.300000000039745,165.18868258299622
baseline,3,219.12319000000002,18.48319787337831,222.39999999999327,368.9970073462024
baseline,3,221.49059,17.224748871317335,43.299999999987904,833.2733706227107
baseline,3,221.57809000000003,4.493359182041829,33.09999999999036,201.89318357441869
baseline,3,221.65619000000004,2.51885382487775,25.2999999999588,359.397865235334
baseline,3,221.77849000000003,13.395097113050287,43.3999999999628,642.7238531597134
