trial,timestamp,magnification,radial,response,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38.68228,1.05,0,2,,,,pre,post,,,magn,pre,post,,0,40.67369,1.2,0,2,,,,pre,post,,,magn,pre,post
45,1289.659,0.975,0,1,,,,,,,,,,,,45,1361.979,1.05,0,1,,,,,,,,,,
46,1292.846,0.85,0,2,,,,,,,,,,,,46,1364.478,1.05,0,1,,,,,,,,,,
47,1295.711,0.85,0,2,,,,,,,,,,,,47,1366.777,1.15,0,2,,,,,,,,,,
48,1298.521,1.1,0,1,,,,,,,,,,,,48,1379.784,1.2,0,2,,,,,,,,,,
49,1301.331,0.95,0,2,,,,,,,,,,,,49,1382.183,0.975,0,1,,,,,,,,,,
50,1304.097,1.1,0,2,,,,,,,,,,,,50,1384.182,0.975,0,1,,,,,,,,,,
51,1306.995,1,0,1,,,,,,,,,,,,51,1386.281,1.2,0,2,,,,,,,,,,
52,1309.728,0.975,0,1,,,,,,,,,,,,52,1400.52,1.025,0,1,,,,,,,,,,
53,1312.26,1.15,0,2,,,,,,,,,,,,53,1402.876,0.9,0,2,,,,,,,,,,
54,1314.847,1.05,0,1,,,,,,,,,,,,54,1405.24,0.9,0,2,,,,,,,,,,
55,1318.768,1.2,0,2,,,,,,,,,,,,55,1407.739,1.05,0,1,,,,,,,,,,
56,1321.378,1.15,0,2,,,,,,,,,,,,56,1423.454,1.025,0,1,,,,,,,,,,
57,1323.899,0.9,0,2,,,,,,,,,,,,57,1426.286,0.975,0,1,,,,,,,,,,
58,1326.254,1.1,0,1,,,,,,,,,,,,58,1428.674,0.975,0,1,,,,,,,,,,
59,1328.608,0.85,0,2,,,,,,,,,,,,59,1432.128,1.025,0,1,,,,,,,,,,
60,1330.862,1.15,0,2,,,,,,,,,,,,60,1445.903,0.9,0,2,,,,,,,,,,
61,1333.05,0.85,0,2,,,,,,,,,,,,61,1448.18,0.975,0,2,,,,,,,,,,
62,1335.504,0.975,0,1,,,,,,,,,,,,62,1450.134,1,0,1,,,,,,,,,,
63,1338.003,1.025,0,1,,,,,,,,,,,,63,1452.799,1.05,0,1,,,,,,,,,,
64,1340.402,1.025,0,1,,,,,,,,,,,,64,1468.113,0.975,0,1,,,,,,,,,,
65,1342.746,1.05,0,1,,,,,,,,,,,,65,1471.812,1.15,0,2,,,,,,,,,,
66,1345.156,1.05,0,1,,,,,,,,,,,,66,1474.166,0.85,0,2,,,,,,,,,,
67,1349.043,1.2,0,2,,,,,,,,,,,,67,1477.454,1,0,1,,,,,,,,,,
68,1351.453,1,0,1,,,,,,,,,,,,68,1491.349,1.025,0,1,,,,,,,,,,
69,1353.741,1,0,1,,,,,,,,,,,,69,1494.437,1.2,0,2,,,,,,,,,,
70,1356.05,1,0,1,,,,,,,,,,,,70,1496.791,0.85,0,2,,,,,,,,,,
71,1358.35,0.85,0,2,,,,,,,,,,,,71,1500.756,1.15,0,2,,,,,,,,,,
72,1360.671,0.85,0,2,,,,,,,,,,,,72,1514.581,1.1,0,1,,,,,,,,,,
73,1362.97,1.1,0,2,,,,,,,,,,,,73,1517.524,1.025,0,1,,,,,,,,,,
74,1365.246,0.9,0,2,,,,,,,,,,,,74,1519.823,1.05,0,1,,,,,,,,,,
75,1368.478,1.2,0,2,,,,,,,,,,,,75,1522.033,1.1,0,2,,,,,,,,,,
76,1370.766,1.1,0,2,,,,,,,,,,,,76,1536.341,1.15,0,2,,,,,,,,,,
77,1373.046,1,0,1,,,,,,,,,,,,77,1538.141,1.05,0,1,,,,,,,,,,
78,1375.264,1.025,0,1,,,,,,,,,,,,78,1540.517,1.1,0,1,,,,,,,,,,
79,1377.618,0.95,0,2,,,,,,,,,,,,79,1543.705,1.1,0,1,,,,,,,,,,
